N,Triton,Torch,Naive
256.000000,238.986798,338.444390,79.469115
384.000000,358.382636,326.082585,87.763599
512.000000,370.604259,366.395937,90.791848
640.000000,336.079693,378.400278,91.219590
768.000000,385.683468,385.358115,93.595838
896.000000,388.957412,384.322844,94.508632
1024.000000,392.622883,388.220832,95.460542
1152.000000,391.991368,180.473644,95.675440
1280.000000,395.248642,199.912838,96.468076
1408.000000,398.725683,25.451772,4.279094
1536.000000,13.637235,15.825094,2.531162
1664.000000,24.832579,16.042344,4.074864
1792.000000,25.434912,19.770292,4.362530
1920.000000,18.097452,11.717550,2.480386
2048.000000,13.113233,11.644096,2.482550
2176.000000,17.108610,11.866811,4.409786
2304.000000,25.464477,19.957651,4.411583
2432.000000,25.481381,20.110535,4.412792
2560.000000,25.487339,20.116223,4.316751
2688.000000,25.479461,20.116897,4.421621
2816.000000,21.323289,20.123269,4.390995
2944.000000,19.708786,20.134217,4.339682
3072.000000,24.697775,13.691914,4.397111
3200.000000,25.495008,20.087732,4.403120
3328.000000,25.491284,20.077267,3.444951
3456.000000,25.496716,20.059412,4.407168
3584.000000,25.498311,19.643021,4.218487
3712.000000,25.488014,20.027652,4.394525
3840.000000,25.477514,19.810302,2.814895
3968.000000,18.466495,19.848741,3.719982
4096.000000,15.875472,19.966031,4.393082
4224.000000,19.889346,19.803868,3.758634
4352.000000,19.412622,14.062525,2.492554
4480.000000,12.128270,12.668563,3.583211
4608.000000,19.032636,16.922074,3.037074
4736.000000,19.100527,19.135354,4.497092
4864.000000,405.410166,339.806069,100.997166
4992.000000,406.534885,344.906610,100.947102
5120.000000,405.647426,345.971121,101.299993
5248.000000,405.855689,358.695438,80.312676
5376.000000,368.141453,361.011523,88.987271
5504.000000,386.681894,358.194086,93.746054
5632.000000,29.614354,18.606648,3.846748
5760.000000,16.833389,18.057015,3.040932
5888.000000,13.367118,15.939765,3.052112
6016.000000,14.863532,15.739033,3.992617
6144.000000,17.415121,17.814882,3.907696
6272.000000,22.964431,18.162874,3.922452
6400.000000,20.243138,18.179700,3.870212
6528.000000,23.003949,17.609035,3.798800
6656.000000,23.225433,17.980356,3.706852
6784.000000,410.374282,381.594756,96.629589
6912.000000,400.230853,377.755961,97.979497
7040.000000,396.599303,391.038387,97.737793
7168.000000,390.370888,383.978580,97.741251
7296.000000,389.397034,383.881604,99.791382
7424.000000,385.325410,24.009701,4.093177
7552.000000,17.558963,18.423023,4.176486
7680.000000,17.974766,17.111227,4.145819
7808.000000,18.346134,18.607783,4.119637
7936.000000,17.838719,18.824441,4.147374
8064.000000,18.814334,17.602423,4.108325
8192.000000,24.564684,17.722732,3.933084
8320.000000,410.231129,379.975436,98.345936
8448.000000,400.241809,389.779089,98.106287
8576.000000,389.086371,341.127308,97.478313
8704.000000,398.820061,354.718532,99.359768
8832.000000,391.048706,325.184462,100.410277
8960.000000,24.380952,19.520697,4.562334
9088.000000,16.376618,19.309209,4.154574
9216.000000,17.539668,18.325482,4.209901
9344.000000,17.046721,18.259472,4.054676
9472.000000,17.450924,18.252681,4.031228
9600.000000,17.292914,40.426372,96.884987
9728.000000,393.496402,365.241774,98.575305
9856.000000,392.437906,352.551204,97.788652
9984.000000,390.721180,366.661083,98.629323
10112.000000,397.542545,368.771598,97.536064
10240.000000,24.216088,18.220641,4.190603
10368.000000,17.727338,18.503959,4.144712
10496.000000,18.031461,18.238053,4.174605
10624.000000,17.521866,17.886388,4.076063
10752.000000,17.972274,17.562811,16.060860
10880.000000,386.759805,388.065177,99.095768
11008.000000,390.896863,385.276246,98.371814
11136.000000,388.847376,398.063698,100.239779
11264.000000,391.124610,383.362287,101.331269
11392.000000,21.893877,17.285158,4.144283
11520.000000,18.027743,18.928883,4.162837
11648.000000,18.065850,18.065096,4.157912
11776.000000,16.655559,16.911604,4.070735
11904.000000,17.236171,18.317863,7.346164
12032.000000,389.176147,392.567271,98.405080
12160.000000,396.795515,394.563204,98.620009
12288.000000,397.901012,341.539475,98.943586
12416.000000,393.344393,309.004794,26.198465
12544.000000,16.633503,18.147234,4.143267
12672.000000,18.046060,17.125770,4.198373
